strain	genbank_accession	date	country	location	length	host	bioproject_accession	biosample_accession	sra_accession	authors	publications	Nextstrain_lineage
23MPX1157C|PQ221756.1|2023-07-17	PQ221756.1	2023-07-17	Democratic Republic of the Congo	Tshopo,Opala	196262	Homo sapiens			23MPX1157C	Kinganda Lusamaki,E., Amuri Aziza,A., Luakanda Ndelemo,G., Hasivirwe Vakaniaki,E., Fernandez Nunez,N., Pratt,C.B., Akil Bandali,P., Makangara Cigolo,J.-C., Hoff,N.A., Sabiti Nundu,S., Mulopo Mukanya,N., Ngimba,M., Modrada Madakpa,B., Diavita,R., Paku Tshambu,P., Pukuta Simbu,E., Merritt,S., O'Toole,A., Low,N., Nkuba Ndaye,A., Kavunga Membo,H., Shongo,R., Malembi,E., Kalonji,T., Kacita,C., Lokilo Lofiko,E., Kavira Bapitani,S., Rilia,O., Muswamba,P.-C., Muyembe Mawete,F., Lumembe,R., Kabamba,G., Kenye,M., Citenga,A., Cikaya,F., Yungwe,Z., Matondo,M., Kasongo,F., Tshiminyi,P., Bulabula,J., Nkawa,F., Muhindo Milonde,E., Kavira Kamaliro,A., Paluku Kalimuli,Z., Bodisa Matamu,T., Mubalama Mufungizi,J., Wiley,M.R., Devos,E., Bangwen,E., Brosius,I., Parker,E., Pilarowski,G., Liesenborghs,L., Wawina Bokalanga,T., Vercauteren,K., Mukadi Bamuleka,D., Subissi,L., Muyembe,J.-J., Kindrachuk,J., Guichet,E., Ayouba,A., Rambaut,A., Delaporte,E., Tessema,S.K., D'Ortenzio,E., Rimoin,A.W., Hensley,L.E., Mbala Kingebeni,P., Peeters,M., Ahuka Mundeke,S.		
23MPX1185V|PQ221757.1|2023-07-16	PQ221757.1	2023-07-16	Democratic Republic of the Congo	Tshopo,Yakusu	196586	Homo sapiens			23MPX1185V	Kinganda Lusamaki,E., Amuri Aziza,A., Luakanda Ndelemo,G., Hasivirwe Vakaniaki,E., Fernandez Nunez,N., Pratt,C.B., Akil Bandali,P., Makangara Cigolo,J.-C., Hoff,N.A., Sabiti Nundu,S., Mulopo Mukanya,N., Ngimba,M., Modrada Madakpa,B., Diavita,R., Paku Tshambu,P., Pukuta Simbu,E., Merritt,S., O'Toole,A., Low,N., Nkuba Ndaye,A., Kavunga Membo,H., Shongo,R., Malembi,E., Kalonji,T., Kacita,C., Lokilo Lofiko,E., Kavira Bapitani,S., Rilia,O., Muswamba,P.-C., Muyembe Mawete,F., Lumembe,R., Kabamba,G., Kenye,M., Citenga,A., Cikaya,F., Yungwe,Z., Matondo,M., Kasongo,F., Tshiminyi,P., Bulabula,J., Nkawa,F., Muhindo Milonde,E., Kavira Kamaliro,A., Paluku Kalimuli,Z., Bodisa Matamu,T., Mubalama Mufungizi,J., Wiley,M.R., Devos,E., Bangwen,E., Brosius,I., Parker,E., Pilarowski,G., Liesenborghs,L., Wawina Bokalanga,T., Vercauteren,K., Mukadi Bamuleka,D., Subissi,L., Muyembe,J.-J., Kindrachuk,J., Guichet,E., Ayouba,A., Rambaut,A., Delaporte,E., Tessema,S.K., D'Ortenzio,E., Rimoin,A.W., Hensley,L.E., Mbala Kingebeni,P., Peeters,M., Ahuka Mundeke,S.		
23MPX1190C|PQ221758.1|2023-08-12	PQ221758.1	2023-08-12	Democratic Republic of the Congo	Equateur,Djombo	196554	Homo sapiens			23MPX1190C	Kinganda Lusamaki,E., Amuri Aziza,A., Luakanda Ndelemo,G., Hasivirwe Vakaniaki,E., Fernandez Nunez,N., Pratt,C.B., Akil Bandali,P., Makangara Cigolo,J.-C., Hoff,N.A., Sabiti Nundu,S., Mulopo Mukanya,N., Ngimba,M., Modrada Madakpa,B., Diavita,R., Paku Tshambu,P., Pukuta Simbu,E., Merritt,S., O'Toole,A., Low,N., Nkuba Ndaye,A., Kavunga Membo,H., Shongo,R., Malembi,E., Kalonji,T., Kacita,C., Lokilo Lofiko,E., Kavira Bapitani,S., Rilia,O., Muswamba,P.-C., Muyembe Mawete,F., Lumembe,R., Kabamba,G., Kenye,M., Citenga,A., Cikaya,F., Yungwe,Z., Matondo,M., Kasongo,F., Tshiminyi,P., Bulabula,J., Nkawa,F., Muhindo Milonde,E., Kavira Kamaliro,A., Paluku Kalimuli,Z., Bodisa Matamu,T., Mubalama Mufungizi,J., Wiley,M.R., Devos,E., Bangwen,E., Brosius,I., Parker,E., Pilarowski,G., Liesenborghs,L., Wawina Bokalanga,T., Vercauteren,K., Mukadi Bamuleka,D., Subissi,L., Muyembe,J.-J., Kindrachuk,J., Guichet,E., Ayouba,A., Rambaut,A., Delaporte,E., Tessema,S.K., D'Ortenzio,E., Rimoin,A.W., Hensley,L.E., Mbala Kingebeni,P., Peeters,M., Ahuka Mundeke,S.		
23MPX1194C|PQ221759.1|2023-08-11	PQ221759.1	2023-08-11	Democratic Republic of the Congo	Equateur,Bikoro	196597	Homo sapiens			23MPX1194C	Kinganda Lusamaki,E., Amuri Aziza,A., Luakanda Ndelemo,G., Hasivirwe Vakaniaki,E., Fernandez Nunez,N., Pratt,C.B., Akil Bandali,P., Makangara Cigolo,J.-C., Hoff,N.A., Sabiti Nundu,S., Mulopo Mukanya,N., Ngimba,M., Modrada Madakpa,B., Diavita,R., Paku Tshambu,P., Pukuta Simbu,E., Merritt,S., O'Toole,A., Low,N., Nkuba Ndaye,A., Kavunga Membo,H., Shongo,R., Malembi,E., Kalonji,T., Kacita,C., Lokilo Lofiko,E., Kavira Bapitani,S., Rilia,O., Muswamba,P.-C., Muyembe Mawete,F., Lumembe,R., Kabamba,G., Kenye,M., Citenga,A., Cikaya,F., Yungwe,Z., Matondo,M., Kasongo,F., Tshiminyi,P., Bulabula,J., Nkawa,F., Muhindo Milonde,E., Kavira Kamaliro,A., Paluku Kalimuli,Z., Bodisa Matamu,T., Mubalama Mufungizi,J., Wiley,M.R., Devos,E., Bangwen,E., Brosius,I., Parker,E., Pilarowski,G., Liesenborghs,L., Wawina Bokalanga,T., Vercauteren,K., Mukadi Bamuleka,D., Subissi,L., Muyembe,J.-J., Kindrachuk,J., Guichet,E., Ayouba,A., Rambaut,A., Delaporte,E., Tessema,S.K., D'Ortenzio,E., Rimoin,A.W., Hensley,L.E., Mbala Kingebeni,P., Peeters,M., Ahuka Mundeke,S.		
23MPX1199V|PQ221760.1|2023-08-09	PQ221760.1	2023-08-09	Democratic Republic of the Congo	Sud-Ubangi,Libenge	196642	Homo sapiens			23MPX1199V	Kinganda Lusamaki,E., Amuri Aziza,A., Luakanda Ndelemo,G., Hasivirwe Vakaniaki,E., Fernandez Nunez,N., Pratt,C.B., Akil Bandali,P., Makangara Cigolo,J.-C., Hoff,N.A., Sabiti Nundu,S., Mulopo Mukanya,N., Ngimba,M., Modrada Madakpa,B., Diavita,R., Paku Tshambu,P., Pukuta Simbu,E., Merritt,S., O'Toole,A., Low,N., Nkuba Ndaye,A., Kavunga Membo,H., Shongo,R., Malembi,E., Kalonji,T., Kacita,C., Lokilo Lofiko,E., Kavira Bapitani,S., Rilia,O., Muswamba,P.-C., Muyembe Mawete,F., Lumembe,R., Kabamba,G., Kenye,M., Citenga,A., Cikaya,F., Yungwe,Z., Matondo,M., Kasongo,F., Tshiminyi,P., Bulabula,J., Nkawa,F., Muhindo Milonde,E., Kavira Kamaliro,A., Paluku Kalimuli,Z., Bodisa Matamu,T., Mubalama Mufungizi,J., Wiley,M.R., Devos,E., Bangwen,E., Brosius,I., Parker,E., Pilarowski,G., Liesenborghs,L., Wawina Bokalanga,T., Vercauteren,K., Mukadi Bamuleka,D., Subissi,L., Muyembe,J.-J., Kindrachuk,J., Guichet,E., Ayouba,A., Rambaut,A., Delaporte,E., Tessema,S.K., D'Ortenzio,E., Rimoin,A.W., Hensley,L.E., Mbala Kingebeni,P., Peeters,M., Ahuka Mundeke,S.		
23MPX1229V|PQ221761.1|2023-08-23	PQ221761.1	2023-08-23	Democratic Republic of the Congo	Maindombe,Kiri	196642	Homo sapiens			23MPX1229V	Kinganda Lusamaki,E., Amuri Aziza,A., Luakanda Ndelemo,G., Hasivirwe Vakaniaki,E., Fernandez Nunez,N., Pratt,C.B., Akil Bandali,P., Makangara Cigolo,J.-C., Hoff,N.A., Sabiti Nundu,S., Mulopo Mukanya,N., Ngimba,M., Modrada Madakpa,B., Diavita,R., Paku Tshambu,P., Pukuta Simbu,E., Merritt,S., O'Toole,A., Low,N., Nkuba Ndaye,A., Kavunga Membo,H., Shongo,R., Malembi,E., Kalonji,T., Kacita,C., Lokilo Lofiko,E., Kavira Bapitani,S., Rilia,O., Muswamba,P.-C., Muyembe Mawete,F., Lumembe,R., Kabamba,G., Kenye,M., Citenga,A., Cikaya,F., Yungwe,Z., Matondo,M., Kasongo,F., Tshiminyi,P., Bulabula,J., Nkawa,F., Muhindo Milonde,E., Kavira Kamaliro,A., Paluku Kalimuli,Z., Bodisa Matamu,T., Mubalama Mufungizi,J., Wiley,M.R., Devos,E., Bangwen,E., Brosius,I., Parker,E., Pilarowski,G., Liesenborghs,L., Wawina Bokalanga,T., Vercauteren,K., Mukadi Bamuleka,D., Subissi,L., Muyembe,J.-J., Kindrachuk,J., Guichet,E., Ayouba,A., Rambaut,A., Delaporte,E., Tessema,S.K., D'Ortenzio,E., Rimoin,A.W., Hensley,L.E., Mbala Kingebeni,P., Peeters,M., Ahuka Mundeke,S.		
23MPX1273C|PQ221762.1|2023-08-20	PQ221762.1	2023-08-20	Democratic Republic of the Congo	Tshopo,Yahuma	196606	Homo sapiens			23MPX1273C	Kinganda Lusamaki,E., Amuri Aziza,A., Luakanda Ndelemo,G., Hasivirwe Vakaniaki,E., Fernandez Nunez,N., Pratt,C.B., Akil Bandali,P., Makangara Cigolo,J.-C., Hoff,N.A., Sabiti Nundu,S., Mulopo Mukanya,N., Ngimba,M., Modrada Madakpa,B., Diavita,R., Paku Tshambu,P., Pukuta Simbu,E., Merritt,S., O'Toole,A., Low,N., Nkuba Ndaye,A., Kavunga Membo,H., Shongo,R., Malembi,E., Kalonji,T., Kacita,C., Lokilo Lofiko,E., Kavira Bapitani,S., Rilia,O., Muswamba,P.-C., Muyembe Mawete,F., Lumembe,R., Kabamba,G., Kenye,M., Citenga,A., Cikaya,F., Yungwe,Z., Matondo,M., Kasongo,F., Tshiminyi,P., Bulabula,J., Nkawa,F., Muhindo Milonde,E., Kavira Kamaliro,A., Paluku Kalimuli,Z., Bodisa Matamu,T., Mubalama Mufungizi,J., Wiley,M.R., Devos,E., Bangwen,E., Brosius,I., Parker,E., Pilarowski,G., Liesenborghs,L., Wawina Bokalanga,T., Vercauteren,K., Mukadi Bamuleka,D., Subissi,L., Muyembe,J.-J., Kindrachuk,J., Guichet,E., Ayouba,A., Rambaut,A., Delaporte,E., Tessema,S.K., D'Ortenzio,E., Rimoin,A.W., Hensley,L.E., Mbala Kingebeni,P., Peeters,M., Ahuka Mundeke,S.		
23MPX1275C|PQ221763.1|2023-07-17	PQ221763.1	2023-07-17	Democratic Republic of the Congo	Tshopo,Yahuma	196660	Homo sapiens			23MPX1275C	Kinganda Lusamaki,E., Amuri Aziza,A., Luakanda Ndelemo,G., Hasivirwe Vakaniaki,E., Fernandez Nunez,N., Pratt,C.B., Akil Bandali,P., Makangara Cigolo,J.-C., Hoff,N.A., Sabiti Nundu,S., Mulopo Mukanya,N., Ngimba,M., Modrada Madakpa,B., Diavita,R., Paku Tshambu,P., Pukuta Simbu,E., Merritt,S., O'Toole,A., Low,N., Nkuba Ndaye,A., Kavunga Membo,H., Shongo,R., Malembi,E., Kalonji,T., Kacita,C., Lokilo Lofiko,E., Kavira Bapitani,S., Rilia,O., Muswamba,P.-C., Muyembe Mawete,F., Lumembe,R., Kabamba,G., Kenye,M., Citenga,A., Cikaya,F., Yungwe,Z., Matondo,M., Kasongo,F., Tshiminyi,P., Bulabula,J., Nkawa,F., Muhindo Milonde,E., Kavira Kamaliro,A., Paluku Kalimuli,Z., Bodisa Matamu,T., Mubalama Mufungizi,J., Wiley,M.R., Devos,E., Bangwen,E., Brosius,I., Parker,E., Pilarowski,G., Liesenborghs,L., Wawina Bokalanga,T., Vercauteren,K., Mukadi Bamuleka,D., Subissi,L., Muyembe,J.-J., Kindrachuk,J., Guichet,E., Ayouba,A., Rambaut,A., Delaporte,E., Tessema,S.K., D'Ortenzio,E., Rimoin,A.W., Hensley,L.E., Mbala Kingebeni,P., Peeters,M., Ahuka Mundeke,S.		
23MPX1289V|PQ221764.1|2023-09-08	PQ221764.1	2023-09-08	Democratic Republic of the Congo	Kinshasa,Matete	196777	Homo sapiens			23MPX1289V	Kinganda Lusamaki,E., Amuri Aziza,A., Luakanda Ndelemo,G., Hasivirwe Vakaniaki,E., Fernandez Nunez,N., Pratt,C.B., Akil Bandali,P., Makangara Cigolo,J.-C., Hoff,N.A., Sabiti Nundu,S., Mulopo Mukanya,N., Ngimba,M., Modrada Madakpa,B., Diavita,R., Paku Tshambu,P., Pukuta Simbu,E., Merritt,S., O'Toole,A., Low,N., Nkuba Ndaye,A., Kavunga Membo,H., Shongo,R., Malembi,E., Kalonji,T., Kacita,C., Lokilo Lofiko,E., Kavira Bapitani,S., Rilia,O., Muswamba,P.-C., Muyembe Mawete,F., Lumembe,R., Kabamba,G., Kenye,M., Citenga,A., Cikaya,F., Yungwe,Z., Matondo,M., Kasongo,F., Tshiminyi,P., Bulabula,J., Nkawa,F., Muhindo Milonde,E., Kavira Kamaliro,A., Paluku Kalimuli,Z., Bodisa Matamu,T., Mubalama Mufungizi,J., Wiley,M.R., Devos,E., Bangwen,E., Brosius,I., Parker,E., Pilarowski,G., Liesenborghs,L., Wawina Bokalanga,T., Vercauteren,K., Mukadi Bamuleka,D., Subissi,L., Muyembe,J.-J., Kindrachuk,J., Guichet,E., Ayouba,A., Rambaut,A., Delaporte,E., Tessema,S.K., D'Ortenzio,E., Rimoin,A.W., Hensley,L.E., Mbala Kingebeni,P., Peeters,M., Ahuka Mundeke,S.		
23MPX1300V|PQ221765.1|2023-08-12	PQ221765.1	2023-08-12	Democratic Republic of the Congo	Tshopo,Opala	196280	Homo sapiens			23MPX1300V	Kinganda Lusamaki,E., Amuri Aziza,A., Luakanda Ndelemo,G., Hasivirwe Vakaniaki,E., Fernandez Nunez,N., Pratt,C.B., Akil Bandali,P., Makangara Cigolo,J.-C., Hoff,N.A., Sabiti Nundu,S., Mulopo Mukanya,N., Ngimba,M., Modrada Madakpa,B., Diavita,R., Paku Tshambu,P., Pukuta Simbu,E., Merritt,S., O'Toole,A., Low,N., Nkuba Ndaye,A., Kavunga Membo,H., Shongo,R., Malembi,E., Kalonji,T., Kacita,C., Lokilo Lofiko,E., Kavira Bapitani,S., Rilia,O., Muswamba,P.-C., Muyembe Mawete,F., Lumembe,R., Kabamba,G., Kenye,M., Citenga,A., Cikaya,F., Yungwe,Z., Matondo,M., Kasongo,F., Tshiminyi,P., Bulabula,J., Nkawa,F., Muhindo Milonde,E., Kavira Kamaliro,A., Paluku Kalimuli,Z., Bodisa Matamu,T., Mubalama Mufungizi,J., Wiley,M.R., Devos,E., Bangwen,E., Brosius,I., Parker,E., Pilarowski,G., Liesenborghs,L., Wawina Bokalanga,T., Vercauteren,K., Mukadi Bamuleka,D., Subissi,L., Muyembe,J.-J., Kindrachuk,J., Guichet,E., Ayouba,A., Rambaut,A., Delaporte,E., Tessema,S.K., D'Ortenzio,E., Rimoin,A.W., Hensley,L.E., Mbala Kingebeni,P., Peeters,M., Ahuka Mundeke,S.		
23MPX1302C|PQ221766.1|2023-09-05	PQ221766.1	2023-09-05	Democratic Republic of the Congo	Tshopo,Opala	196656	Homo sapiens			23MPX1302C	Kinganda Lusamaki,E., Amuri Aziza,A., Luakanda Ndelemo,G., Hasivirwe Vakaniaki,E., Fernandez Nunez,N., Pratt,C.B., Akil Bandali,P., Makangara Cigolo,J.-C., Hoff,N.A., Sabiti Nundu,S., Mulopo Mukanya,N., Ngimba,M., Modrada Madakpa,B., Diavita,R., Paku Tshambu,P., Pukuta Simbu,E., Merritt,S., O'Toole,A., Low,N., Nkuba Ndaye,A., Kavunga Membo,H., Shongo,R., Malembi,E., Kalonji,T., Kacita,C., Lokilo Lofiko,E., Kavira Bapitani,S., Rilia,O., Muswamba,P.-C., Muyembe Mawete,F., Lumembe,R., Kabamba,G., Kenye,M., Citenga,A., Cikaya,F., Yungwe,Z., Matondo,M., Kasongo,F., Tshiminyi,P., Bulabula,J., Nkawa,F., Muhindo Milonde,E., Kavira Kamaliro,A., Paluku Kalimuli,Z., Bodisa Matamu,T., Mubalama Mufungizi,J., Wiley,M.R., Devos,E., Bangwen,E., Brosius,I., Parker,E., Pilarowski,G., Liesenborghs,L., Wawina Bokalanga,T., Vercauteren,K., Mukadi Bamuleka,D., Subissi,L., Muyembe,J.-J., Kindrachuk,J., Guichet,E., Ayouba,A., Rambaut,A., Delaporte,E., Tessema,S.K., D'Ortenzio,E., Rimoin,A.W., Hensley,L.E., Mbala Kingebeni,P., Peeters,M., Ahuka Mundeke,S.		
23MPX1303C|PQ221767.1|2023-09-08	PQ221767.1	2023-09-08	Democratic Republic of the Congo	Tshopo,Yahuma	196677	Homo sapiens			23MPX1303C	Kinganda Lusamaki,E., Amuri Aziza,A., Luakanda Ndelemo,G., Hasivirwe Vakaniaki,E., Fernandez Nunez,N., Pratt,C.B., Akil Bandali,P., Makangara Cigolo,J.-C., Hoff,N.A., Sabiti Nundu,S., Mulopo Mukanya,N., Ngimba,M., Modrada Madakpa,B., Diavita,R., Paku Tshambu,P., Pukuta Simbu,E., Merritt,S., O'Toole,A., Low,N., Nkuba Ndaye,A., Kavunga Membo,H., Shongo,R., Malembi,E., Kalonji,T., Kacita,C., Lokilo Lofiko,E., Kavira Bapitani,S., Rilia,O., Muswamba,P.-C., Muyembe Mawete,F., Lumembe,R., Kabamba,G., Kenye,M., Citenga,A., Cikaya,F., Yungwe,Z., Matondo,M., Kasongo,F., Tshiminyi,P., Bulabula,J., Nkawa,F., Muhindo Milonde,E., Kavira Kamaliro,A., Paluku Kalimuli,Z., Bodisa Matamu,T., Mubalama Mufungizi,J., Wiley,M.R., Devos,E., Bangwen,E., Brosius,I., Parker,E., Pilarowski,G., Liesenborghs,L., Wawina Bokalanga,T., Vercauteren,K., Mukadi Bamuleka,D., Subissi,L., Muyembe,J.-J., Kindrachuk,J., Guichet,E., Ayouba,A., Rambaut,A., Delaporte,E., Tessema,S.K., D'Ortenzio,E., Rimoin,A.W., Hensley,L.E., Mbala Kingebeni,P., Peeters,M., Ahuka Mundeke,S.		
23MPX1393C|PQ221768.1|2023-09-09	PQ221768.1	2023-09-09	Democratic Republic of the Congo	Tshopo,Yahuma	196651	Homo sapiens			23MPX1393C	Kinganda Lusamaki,E., Amuri Aziza,A., Luakanda Ndelemo,G., Hasivirwe Vakaniaki,E., Fernandez Nunez,N., Pratt,C.B., Akil Bandali,P., Makangara Cigolo,J.-C., Hoff,N.A., Sabiti Nundu,S., Mulopo Mukanya,N., Ngimba,M., Modrada Madakpa,B., Diavita,R., Paku Tshambu,P., Pukuta Simbu,E., Merritt,S., O'Toole,A., Low,N., Nkuba Ndaye,A., Kavunga Membo,H., Shongo,R., Malembi,E., Kalonji,T., Kacita,C., Lokilo Lofiko,E., Kavira Bapitani,S., Rilia,O., Muswamba,P.-C., Muyembe Mawete,F., Lumembe,R., Kabamba,G., Kenye,M., Citenga,A., Cikaya,F., Yungwe,Z., Matondo,M., Kasongo,F., Tshiminyi,P., Bulabula,J., Nkawa,F., Muhindo Milonde,E., Kavira Kamaliro,A., Paluku Kalimuli,Z., Bodisa Matamu,T., Mubalama Mufungizi,J., Wiley,M.R., Devos,E., Bangwen,E., Brosius,I., Parker,E., Pilarowski,G., Liesenborghs,L., Wawina Bokalanga,T., Vercauteren,K., Mukadi Bamuleka,D., Subissi,L., Muyembe,J.-J., Kindrachuk,J., Guichet,E., Ayouba,A., Rambaut,A., Delaporte,E., Tessema,S.K., D'Ortenzio,E., Rimoin,A.W., Hensley,L.E., Mbala Kingebeni,P., Peeters,M., Ahuka Mundeke,S.		
23MPX1396V|PQ221769.1|2023-09-09	PQ221769.1	2023-09-09	Democratic Republic of the Congo	Tshopo,Yahuma	196637	Homo sapiens			23MPX1396V	Kinganda Lusamaki,E., Amuri Aziza,A., Luakanda Ndelemo,G., Hasivirwe Vakaniaki,E., Fernandez Nunez,N., Pratt,C.B., Akil Bandali,P., Makangara Cigolo,J.-C., Hoff,N.A., Sabiti Nundu,S., Mulopo Mukanya,N., Ngimba,M., Modrada Madakpa,B., Diavita,R., Paku Tshambu,P., Pukuta Simbu,E., Merritt,S., O'Toole,A., Low,N., Nkuba Ndaye,A., Kavunga Membo,H., Shongo,R., Malembi,E., Kalonji,T., Kacita,C., Lokilo Lofiko,E., Kavira Bapitani,S., Rilia,O., Muswamba,P.-C., Muyembe Mawete,F., Lumembe,R., Kabamba,G., Kenye,M., Citenga,A., Cikaya,F., Yungwe,Z., Matondo,M., Kasongo,F., Tshiminyi,P., Bulabula,J., Nkawa,F., Muhindo Milonde,E., Kavira Kamaliro,A., Paluku Kalimuli,Z., Bodisa Matamu,T., Mubalama Mufungizi,J., Wiley,M.R., Devos,E., Bangwen,E., Brosius,I., Parker,E., Pilarowski,G., Liesenborghs,L., Wawina Bokalanga,T., Vercauteren,K., Mukadi Bamuleka,D., Subissi,L., Muyembe,J.-J., Kindrachuk,J., Guichet,E., Ayouba,A., Rambaut,A., Delaporte,E., Tessema,S.K., D'Ortenzio,E., Rimoin,A.W., Hensley,L.E., Mbala Kingebeni,P., Peeters,M., Ahuka Mundeke,S.		
23MPX1398V|PQ221770.1|2023-09-08	PQ221770.1	2023-09-08	Democratic Republic of the Congo	Tshopo,Yakusu	196499	Homo sapiens			23MPX1398V	Kinganda Lusamaki,E., Amuri Aziza,A., Luakanda Ndelemo,G., Hasivirwe Vakaniaki,E., Fernandez Nunez,N., Pratt,C.B., Akil Bandali,P., Makangara Cigolo,J.-C., Hoff,N.A., Sabiti Nundu,S., Mulopo Mukanya,N., Ngimba,M., Modrada Madakpa,B., Diavita,R., Paku Tshambu,P., Pukuta Simbu,E., Merritt,S., O'Toole,A., Low,N., Nkuba Ndaye,A., Kavunga Membo,H., Shongo,R., Malembi,E., Kalonji,T., Kacita,C., Lokilo Lofiko,E., Kavira Bapitani,S., Rilia,O., Muswamba,P.-C., Muyembe Mawete,F., Lumembe,R., Kabamba,G., Kenye,M., Citenga,A., Cikaya,F., Yungwe,Z., Matondo,M., Kasongo,F., Tshiminyi,P., Bulabula,J., Nkawa,F., Muhindo Milonde,E., Kavira Kamaliro,A., Paluku Kalimuli,Z., Bodisa Matamu,T., Mubalama Mufungizi,J., Wiley,M.R., Devos,E., Bangwen,E., Brosius,I., Parker,E., Pilarowski,G., Liesenborghs,L., Wawina Bokalanga,T., Vercauteren,K., Mukadi Bamuleka,D., Subissi,L., Muyembe,J.-J., Kindrachuk,J., Guichet,E., Ayouba,A., Rambaut,A., Delaporte,E., Tessema,S.K., D'Ortenzio,E., Rimoin,A.W., Hensley,L.E., Mbala Kingebeni,P., Peeters,M., Ahuka Mundeke,S.		
23MPX1442C|PQ221771.1|2023-09-10	PQ221771.1	2023-09-10	Democratic Republic of the Congo	Sud-Ubangi,Boto	196673	Homo sapiens			23MPX1442C	Kinganda Lusamaki,E., Amuri Aziza,A., Luakanda Ndelemo,G., Hasivirwe Vakaniaki,E., Fernandez Nunez,N., Pratt,C.B., Akil Bandali,P., Makangara Cigolo,J.-C., Hoff,N.A., Sabiti Nundu,S., Mulopo Mukanya,N., Ngimba,M., Modrada Madakpa,B., Diavita,R., Paku Tshambu,P., Pukuta Simbu,E., Merritt,S., O'Toole,A., Low,N., Nkuba Ndaye,A., Kavunga Membo,H., Shongo,R., Malembi,E., Kalonji,T., Kacita,C., Lokilo Lofiko,E., Kavira Bapitani,S., Rilia,O., Muswamba,P.-C., Muyembe Mawete,F., Lumembe,R., Kabamba,G., Kenye,M., Citenga,A., Cikaya,F., Yungwe,Z., Matondo,M., Kasongo,F., Tshiminyi,P., Bulabula,J., Nkawa,F., Muhindo Milonde,E., Kavira Kamaliro,A., Paluku Kalimuli,Z., Bodisa Matamu,T., Mubalama Mufungizi,J., Wiley,M.R., Devos,E., Bangwen,E., Brosius,I., Parker,E., Pilarowski,G., Liesenborghs,L., Wawina Bokalanga,T., Vercauteren,K., Mukadi Bamuleka,D., Subissi,L., Muyembe,J.-J., Kindrachuk,J., Guichet,E., Ayouba,A., Rambaut,A., Delaporte,E., Tessema,S.K., D'Ortenzio,E., Rimoin,A.W., Hensley,L.E., Mbala Kingebeni,P., Peeters,M., Ahuka Mundeke,S.		
23MPX1443V|PQ221772.1|2023-09-03	PQ221772.1	2023-09-03	Democratic Republic of the Congo	Sud-Ubangi,Bangabola	196835	Homo sapiens			23MPX1443V	Kinganda Lusamaki,E., Amuri Aziza,A., Luakanda Ndelemo,G., Hasivirwe Vakaniaki,E., Fernandez Nunez,N., Pratt,C.B., Akil Bandali,P., Makangara Cigolo,J.-C., Hoff,N.A., Sabiti Nundu,S., Mulopo Mukanya,N., Ngimba,M., Modrada Madakpa,B., Diavita,R., Paku Tshambu,P., Pukuta Simbu,E., Merritt,S., O'Toole,A., Low,N., Nkuba Ndaye,A., Kavunga Membo,H., Shongo,R., Malembi,E., Kalonji,T., Kacita,C., Lokilo Lofiko,E., Kavira Bapitani,S., Rilia,O., Muswamba,P.-C., Muyembe Mawete,F., Lumembe,R., Kabamba,G., Kenye,M., Citenga,A., Cikaya,F., Yungwe,Z., Matondo,M., Kasongo,F., Tshiminyi,P., Bulabula,J., Nkawa,F., Muhindo Milonde,E., Kavira Kamaliro,A., Paluku Kalimuli,Z., Bodisa Matamu,T., Mubalama Mufungizi,J., Wiley,M.R., Devos,E., Bangwen,E., Brosius,I., Parker,E., Pilarowski,G., Liesenborghs,L., Wawina Bokalanga,T., Vercauteren,K., Mukadi Bamuleka,D., Subissi,L., Muyembe,J.-J., Kindrachuk,J., Guichet,E., Ayouba,A., Rambaut,A., Delaporte,E., Tessema,S.K., D'Ortenzio,E., Rimoin,A.W., Hensley,L.E., Mbala Kingebeni,P., Peeters,M., Ahuka Mundeke,S.		
23MPX1446C|PQ221773.1|2023-08-14	PQ221773.1	2023-08-14	Democratic Republic of the Congo	Sud-Ubangi,Bokonzi	196871	Homo sapiens			23MPX1446C	Kinganda Lusamaki,E., Amuri Aziza,A., Luakanda Ndelemo,G., Hasivirwe Vakaniaki,E., Fernandez Nunez,N., Pratt,C.B., Akil Bandali,P., Makangara Cigolo,J.-C., Hoff,N.A., Sabiti Nundu,S., Mulopo Mukanya,N., Ngimba,M., Modrada Madakpa,B., Diavita,R., Paku Tshambu,P., Pukuta Simbu,E., Merritt,S., O'Toole,A., Low,N., Nkuba Ndaye,A., Kavunga Membo,H., Shongo,R., Malembi,E., Kalonji,T., Kacita,C., Lokilo Lofiko,E., Kavira Bapitani,S., Rilia,O., Muswamba,P.-C., Muyembe Mawete,F., Lumembe,R., Kabamba,G., Kenye,M., Citenga,A., Cikaya,F., Yungwe,Z., Matondo,M., Kasongo,F., Tshiminyi,P., Bulabula,J., Nkawa,F., Muhindo Milonde,E., Kavira Kamaliro,A., Paluku Kalimuli,Z., Bodisa Matamu,T., Mubalama Mufungizi,J., Wiley,M.R., Devos,E., Bangwen,E., Brosius,I., Parker,E., Pilarowski,G., Liesenborghs,L., Wawina Bokalanga,T., Vercauteren,K., Mukadi Bamuleka,D., Subissi,L., Muyembe,J.-J., Kindrachuk,J., Guichet,E., Ayouba,A., Rambaut,A., Delaporte,E., Tessema,S.K., D'Ortenzio,E., Rimoin,A.W., Hensley,L.E., Mbala Kingebeni,P., Peeters,M., Ahuka Mundeke,S.		
